filename,number_of_pages,categorized,all_categorized,file_location,content
104-10077-10382.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10077-10382.pdf,
104-10078-10014.pdf,11,11,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10078-10014.pdf,
104-10078-10020.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10078-10020.pdf,
104-10079-10016.pdf,78,78,True,/Users/furkandemir/Desktop/Thesis/files/71-80/104-10079-10016.pdf,
104-10079-10163.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10079-10163.pdf,
104-10079-10231.pdf,30,30,True,/Users/furkandemir/Desktop/Thesis/files/21-30/104-10079-10231.pdf,
104-10079-10281.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10079-10281.pdf,
104-10079-10391.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10079-10391.pdf,
104-10087-10054.pdf,19,19,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10087-10054.pdf,
104-10088-10070.pdf,29,29,True,/Users/furkandemir/Desktop/Thesis/files/21-30/104-10088-10070.pdf,
104-10088-10074.pdf,19,19,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10088-10074.pdf,
104-10092-10202.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10092-10202.pdf,
104-10092-10267.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10092-10267.pdf,
104-10092-10340.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10092-10340.pdf,
104-10093-10010.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10093-10010.pdf,
104-10093-10065.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10093-10065.pdf,
104-10093-10109.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10093-10109.pdf,
104-10093-10266.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10093-10266.pdf,
104-10093-10279.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10093-10279.pdf,
104-10095-10075.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10095-10075.pdf,
104-10095-10161.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10095-10161.pdf,
104-10095-10202.pdf,8,8,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10095-10202.pdf,
104-10095-10263.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10095-10263.pdf,
104-10095-10276.pdf,7,7,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10095-10276.pdf,
104-10095-10326.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10095-10326.pdf,
104-10096-10048.pdf,7,7,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10096-10048.pdf,
104-10097-10069.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10097-10069.pdf,
104-10097-10077.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10097-10077.pdf,
104-10097-10170.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10097-10170.pdf,
104-10097-10360.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10097-10360.pdf,
104-10098-10072.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10098-10072.pdf,
104-10098-10264.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/simple/104-10098-10264.pdf,
104-10098-10328.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10098-10328.pdf,
104-10098-10380.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10098-10380.pdf,
104-10098-10391.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10098-10391.pdf,
104-10098-10401.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10098-10401.pdf,
104-10098-10404.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10098-10404.pdf,
104-10100-10034.pdf,5,5,True,/Users/furkandemir/Desktop/Thesis/files/5/104-10100-10034.pdf,
104-10100-10065.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10100-10065.pdf,
104-10100-10086.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10100-10086.pdf,
104-10100-10087.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10100-10087.pdf,
104-10100-10090.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10100-10090.pdf,
104-10100-10152.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10100-10152.pdf,
